0 853332
1 2031375
2 2065217
3 1982022
4 1953225
5 1984889
6 2022884
7 1975898
8 1942497
9 1977410
10 1970613
11 1916463
12 1939672
13 3161441
14 925413
15 1819199
16 1996731
17 2015594
18 1906499
19 2035258
20 2003117
21 1966877
22 1928423
23 1938755
24 1976544
25 2010078
26 1912573
27 1970902
28 1968029
29 1968260
30 945812
31 1918383
32 2025451
33 2029103
34 2000680
35 1928854
36 1977623
37 1984194
38 1920080
39 2001067
40 2033693
41 1996316
42 1927960
43 1973888
44 1974795
45 1921993
46 962348
47 1585928
48 1897194
49 1960882
50 1988565
51 1933608
52 1966775
53 1939107
54 1919224
55 1983771
56 2005959
57 1957681
58 1979592
59 2015270
60 1999343
61 1961574
62 1603007
63 1226161
64 1905252
65 1968563
66 1950444
67 1922195
68 1978761
69 2000568
70 1969121
71 1986670
72 1974233
73 1948475
74 1906338
75 1960379
76 1970362
77 1904449
78 3226620
79 704525
80 1835154
81 1931133
82 2005445
83 1945235
84 1942892
85 1980933
86 1985821
87 1938308
88 1929729
89 1972707
90 1943360
91 1899101
92 1967442
93 2009645
94 1994482
95 882243
96 1703832
97 1938294
98 2028907
99 1996727
