0 834207
1 1971590
2 1976685
3 2006302
4 1961057
5 2004064
6 1962265
7 1961815
8 1951096
9 2093662
10 1947507
11 1940671
12 1933836
13 1980682
14 1987833
15 1917076
16 1991498
17 1979963
18 1932505
19 1930473
20 1945853
21 1958721
22 1929516
23 1958236
24 1952154
25 1911351
26 1940989
27 1943754
28 1906163
29 1946673
30 1945562
31 1912762
32 1934038
33 1941021
34 1896785
35 1949525
36 1998554
37 1912859
38 1943712
39 1950468
40 1973479
41 1958614
42 1953701
43 1921860
44 1918438
45 1942836
46 1903970
47 555326
48 1813370
49 1904191
50 1928155
51 1899299
52 1928790
53 2100760
54 2014904
55 1941478
56 1980532
57 1945667
58 1907123
59 1976084
60 2014552
61 1936824
62 1908540
63 1930808
64 1907046
65 1938241
66 1899204
67 1903055
68 1939233
69 1936328
70 1901872
71 1933437
72 1934767
73 1906285
74 1934125
75 1943104
76 1904107
77 1941981
78 1987428
79 1939742
80 1949071
81 1951393
82 1916123
83 1935046
84 1932026
85 1920544
86 1935420
87 1944498
88 1897518
89 1929893
90 2051689
91 1954294
92 1965561
93 1950933
94 1909647
95 1912412
96 1941457
97 1903631
98 1920006
99 1931440
