0 1419177
1 2000258
2 640702
3 1913463
4 1893385
5 1902535
6 1949120
7 1931071
8 1894761
9 1925673
10 1895252
11 1894707
12 1940871
13 1891712
14 1892044
15 1925757
16 1892927
17 2006525
18 543742
19 1762382
20 1921036
21 1927220
22 1886953
23 1925414
24 1886769
25 1890396
26 1930742
27 1890165
28 1948688
29 1949916
30 1907241
31 1905095
32 1931590
33 1902906
34 674520
35 1576116
36 1885155
37 1927104
38 1890389
39 1894467
40 1924070
41 1939522
42 1915544
43 1983974
44 1898750
45 1899868
46 1936806
47 1922101
48 1893876
49 1928364
50 1066897
51 1270149
52 1852208
53 1882963
54 1933105
55 1891241
56 1887537
57 1916263
58 1895025
59 1888835
60 1921916
61 1884754
62 1888218
63 1905764
64 1887813
65 1886541
66 1734159
67 982742
68 1940717
69 1898943
70 1913264
71 1934073
72 1927031
73 1898524
74 1929279
75 1894024
76 1886548
77 1924590
78 1893719
79 1889775
80 1983915
81 1923337
82 1876078
83 609095
84 1833972
85 1925372
86 1901104
87 1891691
88 1926958
89 1888402
90 1893493
91 1927572
92 1892602
93 1887858
94 1940483
95 1889866
96 1899233
97 1923993
98 1969842
99 546716
