0 1104129
1 2012627
2 2059333
3 2143725
4 1503816
5 1979739
6 2112782
7 2080417
8 2001291
9 2008536
10 2104242
11 1985778
12 1997597
13 2085609
14 2057916
15 1965383
16 2025266
17 2076035
18 2003780
19 2156810
20 1228150
21 2019532
22 1981823
23 2121220
24 2065541
25 2002412
26 2017634
27 2097832
28 2011422
29 1979991
30 2085406
31 2050344
32 1968378
33 2014124
34 2046810
35 2090591
36 668709
37 2012033
38 2040781
39 2054956
40 2117899
41 2026739
42 2004373
43 2011388
44 2110725
45 2034629
46 1981328
47 2083158
48 1988429
49 1983950
50 2083074
51 2163071
52 991228
53 1987252
54 2040504
55 2022584
56 2020737
57 2052749
58 2032967
59 2052965
60 2019515
61 2017678
62 2017099
63 2022661
64 2064958
65 2003305
66 2022043
67 1753981
68 1906114
69 2057807
70 2025601
71 2035212
72 1998194
73 2011021
74 2048004
75 2017144
76 2022916
77 2088926
78 2067897
79 1991602
80 1999671
81 2077240
82 1990530
83 786627
84 1878386
85 2041751
86 2016893
87 2081301
88 2030279
89 2030352
90 2046715
91 2061065
92 2015049
93 2026330
94 2056925
95 2009387
96 2022336
97 2089683
98 2110872
99 611228
