0 909656
1 2158888
2 2077328
3 2048793
4 2030803
5 2040260
6 2051782
7 2080289
8 2014725
9 2010930
10 2005477
11 2013018
12 1998058
13 1988387
14 2019397
15 2001895
16 1954182
17 1980779
18 1985035
19 2000746
20 1972557
21 1998707
22 1984648
23 1944864
24 1990639
25 1950241
26 1947630
27 1980762
28 1968944
29 1955859
30 1986551
31 1982211
32 1937306
33 1980692
34 594781
35 1824415
36 1951868
37 1971786
38 2023603
39 2043385
40 2002188
41 1970826
42 2032101
43 1989965
44 2056994
45 1977927
46 1995722
47 1973835
48 1976838
49 2037467
50 1960889
51 1985489
52 1979114
53 1941467
54 1992241
55 1975147
56 1940081
57 1993260
58 2018904
59 1957353
60 1960753
61 585110
62 1778815
63 1959196
64 1932103
65 1974932
66 1973396
67 1981359
68 1965927
69 2010997
70 1975944
71 1969733
72 1944456
73 1997712
74 1963766
75 1942218
76 2027444
77 1963895
78 1957639
79 1998634
80 1957754
81 1951439
82 1983758
83 1977029
84 1935441
85 1984955
86 1973521
87 1951731
88 636840
89 1760681
90 1985046
91 1938705
92 1990310
93 2017986
94 1990244
95 2034151
96 1963909
97 2018509
98 2016394
99 1973112
